Size;Measure;Time_naive;Time_better;Time_blas
162;7;49.217000;48.837000;2.983000
162;8;49.188000;48.834000;2.989000
162;9;49.160000;48.883000;3.022000
172;0;59.368000;58.446000;3.563000
172;1;59.659000;58.227000;3.568000
172;2;59.823000;58.176000;4.498000
172;3;59.674000;57.921000;3.547000
172;4;59.927000;58.161000;4.545000
172;5;59.480000;57.853000;3.566000
172;6;59.299000;58.173000;4.543000
172;7;59.479000;57.875000;3.561000
172;8;59.709000;58.236000;3.550000
172;9;59.709000;58.136000;4.523000
182;0;71.172000;68.634000;4.214000
182;1;70.052000;68.472000;4.182000
182;2;70.756000;68.439000;4.186000
182;3;70.840000;68.818000;4.187000
182;4;71.284000;68.986000;4.220000
182;5;71.207000;68.911000;4.192000
182;6;71.273000;68.879000;4.187000
182;7;71.275000;68.785000;4.186000
182;8;71.394000;68.812000;4.189000
182;9;69.995000;68.343000;4.216000
192;0;92.914000;80.037000;4.918000
192;1;92.967000;79.976000;4.919000
192;2;93.098000;79.319000;4.910000
192;3;92.998000;79.891000;4.923000
192;4;92.882000;79.886000;4.914000
192;5;92.847000;80.175000;4.950000
192;6;93.435000;80.392000;4.922000
192;7;93.307000;80.426000;4.933000
192;8;93.337000;80.447000;4.930000
192;9;94.436000;79.967000;4.926000
202;0;101.873000;94.496000;5.694000
202;1;101.217000;93.628000;5.740000
202;2;102.303000;94.493000;5.750000
202;3;102.094000;94.230000;5.711000
202;4;102.042000;93.616000;5.691000
202;5;101.717000;93.719000;5.709000
202;6;101.768000;93.646000;5.703000
202;7;101.784000;93.821000;5.737000
202;8;102.273000;93.694000;5.722000
202;9;101.744000;93.697000;5.706000
212;0;117.553000;107.911000;6.588000
212;1;117.913000;107.835000;6.583000
212;2;117.406000;107.807000;6.583000
212;3;117.690000;108.708000;6.667000
212;4;117.784000;109.048000;6.571000
212;5;117.471000;107.843000;6.586000
212;6;117.808000;107.942000;6.593000
212;7;117.392000;107.844000;6.593000
212;8;117.424000;107.335000;6.591000
212;9;117.487000;107.821000;6.585000
222;0;136.603000;123.964000;7.572000
222;1;137.048000;123.834000;7.570000
222;2;136.120000;123.809000;7.579000
222;3;136.594000;124.132000;7.584000
222;4;136.525000;123.981000;7.578000
222;5;136.805000;124.074000;7.602000
222;6;137.151000;123.951000;7.584000
222;7;136.569000;123.969000;7.579000
222;8;137.110000;123.858000;7.538000
222;9;136.585000;123.806000;7.552000
232;0;154.523000;140.904000;8.640000
232;1;154.070000;140.962000;8.626000
232;2;154.572000;140.825000;8.618000
232;3;154.059000;140.891000;8.632000
232;4;155.324000;141.011000;8.615000
232;5;154.198000;140.836000;8.593000
232;6;154.521000;140.830000;8.611000
232;7;154.122000;140.908000;8.612000
232;8;154.132000;140.583000;8.644000
232;9;153.623000;140.314000;8.601000
242;0;177.133000;159.675000;9.797000
242;1;176.474000;159.847000;9.833000
242;2;176.441000;160.502000;9.807000
242;3;176.660000;159.737000;9.812000
242;4;176.462000;159.955000;9.835000
242;5;177.025000;161.322000;9.879000
242;6;177.786000;160.800000;9.838000
242;7;175.808000;160.549000;9.817000
242;8;176.629000;160.274000;9.824000
242;9;176.482000;159.978000;9.876000
252;0;199.487000;180.407000;11.592000
252;1;198.689000;181.013000;11.693000
252;2;198.615000;180.394000;11.592000
252;3;199.281000;180.362000;11.595000
252;4;198.689000;180.374000;11.028000
252;5;198.320000;180.210000;11.077000
252;6;198.825000;179.228000;11.065000
252;7;198.906000;179.865000;11.057000
252;8;199.258000;179.880000;11.040000
252;9;198.641000;180.134000;11.608000
262;0;224.786000;202.754000;12.637000
262;1;224.557000;202.570000;13.113000
262;2;225.108000;202.029000;13.102000
262;3;224.377000;202.634000;13.021000
