Size;Measure;Time_naive;Time_better;Time_blas
142;6;26.846000;25.710000;2.008000
142;7;26.458000;25.630000;2.006000
142;8;26.774000;25.748000;2.015000
142;9;26.849000;25.733000;2.026000
152;0;32.917000;31.508000;2.469000
152;1;32.923000;31.468000;2.464000
152;2;33.102000;31.468000;2.471000
152;3;32.946000;31.482000;2.473000
152;4;32.824000;31.474000;2.469000
152;5;32.724000;31.109000;2.991000
152;6;32.751000;30.977000;3.175000
152;7;32.888000;31.145000;3.178000
152;8;32.767000;30.983000;3.154000
152;9;32.674000;31.024000;2.986000
162;0;39.696000;38.496000;2.986000
162;1;39.934000;40.058000;2.991000
162;2;39.909000;38.939000;3.011000
162;3;40.317000;38.691000;2.963000
162;4;40.604000;38.465000;2.979000
162;5;39.630000;37.980000;2.957000
162;6;39.633000;38.428000;2.979000
162;7;39.630000;37.945000;2.966000
162;8;39.629000;38.450000;2.974000
162;9;39.595000;37.938000;2.969000
172;0;47.684000;45.905000;3.543000
172;1;47.448000;45.864000;3.544000
172;2;47.458000;45.838000;3.540000
172;3;47.584000;45.843000;3.541000
172;4;48.024000;45.357000;3.541000
172;5;47.629000;45.862000;3.534000
172;6;47.462000;45.830000;3.538000
172;7;47.450000;45.849000;3.541000
172;8;47.461000;45.841000;3.546000
172;9;47.463000;45.838000;3.538000
182;0;56.935000;53.642000;4.178000
182;1;56.852000;54.115000;4.185000
182;2;56.135000;54.084000;4.195000
182;3;56.174000;54.148000;4.192000
182;4;56.164000;54.287000;4.186000
182;5;56.198000;54.602000;4.186000
182;6;56.146000;54.136000;4.181000
182;7;56.134000;54.108000;4.189000
182;8;56.110000;54.097000;4.415000
182;9;56.138000;54.165000;4.201000
192;0;66.042000;63.461000;4.913000
192;1;66.619000;63.418000;4.917000
192;2;66.696000;63.572000;4.918000
192;3;66.608000;63.446000;4.913000
192;4;66.669000;63.386000;4.906000
192;5;65.954000;63.420000;4.913000
192;6;66.654000;63.598000;4.915000
192;7;66.646000;63.444000;4.908000
192;8;66.648000;63.416000;4.917000
192;9;67.326000;63.397000;5.276000
202;0;79.000000;73.680000;5.689000
202;1;79.119000;74.305000;5.689000
202;2;78.179000;73.598000;5.695000
202;3;78.991000;73.079000;5.677000
202;4;78.188000;73.564000;5.687000
202;5;78.163000;73.534000;5.685000
202;6;78.404000;73.555000;5.686000
202;7;78.226000;73.557000;5.695000
202;8;78.231000;73.591000;5.690000
202;9;79.112000;73.895000;5.716000
212;0;90.848000;85.402000;7.568000
212;1;90.447000;85.263000;6.597000
212;2;91.195000;84.978000;6.584000
212;3;90.610000;85.009000;6.581000
212;4;89.819000;85.026000;6.586000
212;5;90.673000;84.944000;6.585000
212;6;90.588000;84.983000;6.590000
212;7;91.339000;85.171000;6.605000
212;8;90.577000;85.001000;6.589000
212;9;90.575000;84.990000;6.577000
222;0;105.299000;97.433000;7.550000
222;1;104.444000;97.289000;7.564000
222;2;104.447000;99.142000;7.584000
222;3;104.942000;97.594000;7.541000
222;4;104.587000;97.566000;7.552000
222;5;104.879000;97.640000;7.550000
222;6;104.952000;97.608000;7.563000
222;7;104.512000;97.544000;7.558000
222;8;104.521000;97.537000;7.559000
222;9;104.530000;97.556000;7.605000
232;0;118.175000;111.272000;8.627000
232;1;118.107000;111.405000;8.644000
232;2;118.146000;111.510000;8.727000
232;3;118.124000;111.224000;8.655000
232;4;119.407000;111.295000;8.643000
232;5;118.218000;111.312000;8.631000
232;6;118.465000;111.446000;8.634000
232;7;118.190000;111.220000;8.633000
232;8;118.175000;111.243000;8.635000
232;9;118.500000;111.284000;8.643000
242;0;135.047000;126.134000;9.789000
242;1;134.794000;125.798000;9.763000
242;2;135.438000;125.964000;9.796000
242;3;134.962000;126.184000;9.822000
242;4;135.052000;125.970000;9.812000
242;5;135.007000;126.169000;9.873000
242;6;134.961000;126.098000;9.813000
242;7;134.982000;126.084000;9.782000
242;8;135.493000;126.025000;9.793000
242;9;136.978000;125.281000;9.806000
252;0;154.555000;141.912000;11.646000
252;1;152.346000;142.248000;11.103000
252;2;153.096000;142.161000;11.100000
252;3;152.322000;142.129000;11.127000
252;4;152.962000;141.838000;11.594000
252;5;152.899000;141.820000;11.626000
252;6;152.918000;142.448000;11.053000
252;7;152.376000;142.234000;11.101000
252;8;153.008000;142.105000;11.056000
252;9;152.290000;142.123000;11.580000
262;0;170.464000;159.923000;13.088000
262;1;170.065000;159.847000;12.994000
262;2;170.256000;159.316000;13.068000
262;3;169.985000;160.387000;13.686000
262;4;169.941000;159.732000;13.670000
262;5;171.182000;159.699000;13.700000
262;6;171.429000;159.797000;13.113000
262;7;170.920000;159.216000;13.058000
262;8;170.227000;160.278000;13.738000
262;9;170.007000;159.929000;13.680000
272;0;188.872000;179.454000;15.284000
272;1;189.682000;178.729000;15.264000
272;2;190.830000;178.610000;14.526000
272;3;189.215000;178.834000;14.728000
272;4;188.925000;178.440000;14.700000
272;5;189.785000;178.240000;14.688000
272;6;189.111000;178.806000;14.713000
272;7;190.923000;178.747000;14.699000
272;8;190.527000;178.534000;14.690000
272;9;188.871000;178.366000;13.891000
282;0;212.490000;198.436000;16.292000
282;1;213.812000;198.301000;16.316000
282;2;212.772000;198.862000;16.314000
282;3;212.776000;198.299000;16.317000
282;4;213.495000;198.574000;16.303000
282;5;212.417000;198.464000;16.355000
282;6;212.445000;198.915000;16.330000
282;7;212.540000;198.306000;16.293000
282;8;213.754000;198.328000;16.315000
282;9;212.877000;198.798000;16.297000
292;0;236.435000;220.204000;17.925000
292;1;237.556000;220.135000;17.965000
292;2;236.495000;219.594000;18.014000
292;3;236.162000;220.807000;17.989000
292;4;236.144000;220.335000;17.972000
292;5;237.185000;220.300000;17.987000
292;6;237.318000;220.316000;18.027000
292;7;236.154000;220.320000;18.012000
292;8;236.165000;220.857000;18.004000
292;9;236.199000;220.589000;18.048000
302;0;266.583000;243.798000;19.866000
302;1;261.952000;243.488000;19.849000
302;2;261.998000;243.465000;19.851000
302;3;261.989000;243.550000;19.852000
302;4;260.773000;243.951000;19.817000
302;5;260.748000;244.053000;19.804000
302;6;261.150000;244.128000;19.844000
302;7;261.153000;243.408000;19.839000
302;8;262.694000;244.232000;19.833000
302;9;262.187000;243.302000;20.396000
312;0;288.824000;268.836000;22.325000
312;1;288.711000;268.718000;22.044000
312;2;286.671000;268.874000;21.779000
312;3;286.730000;268.833000;21.752000
