Size;Measure;Time_1st_level;Time_2nd_level
951;8;0.018000;8.942000
951;9;0.018000;8.943000
1001;0;0.018000;9.938000
1001;1;0.020000;9.932000
1001;2;0.018000;9.967000
1001;3;0.019000;9.935000
1001;4;0.019000;10.115000
1001;5;0.019000;10.053000
1001;6;0.018000;10.045000
1001;7;0.019000;9.951000
1001;8;0.020000;9.948000
1001;9;0.018000;9.938000
1051;0;0.018000;11.173000
1051;1;0.020000;11.174000
1051;2;0.020000;11.001000
1051;3;0.020000;10.982000
1051;4;0.020000;10.993000
1051;5;0.019000;11.230000
1051;6;0.019000;11.074000
1051;7;0.019000;10.939000
1051;8;0.019000;10.946000
1051;9;0.019000;10.949000
1101;0;0.019000;12.068000
1101;1;0.020000;12.028000
1101;2;0.019000;12.025000
1101;3;0.020000;12.065000
1101;4;0.019000;12.015000
1101;5;0.019000;12.105000
1101;6;0.022000;12.054000
1101;7;0.019000;12.087000
1101;8;0.019000;12.073000
1101;9;0.020000;12.061000
1151;0;0.019000;13.154000
1151;1;0.019000;13.157000
1151;2;0.019000;13.145000
1151;3;0.019000;13.148000
1151;4;0.019000;13.195000
1151;5;0.021000;13.165000
1151;6;0.020000;13.234000
1151;7;0.019000;13.190000
1151;8;0.020000;13.149000
1151;9;0.020000;13.147000
1201;0;0.020000;14.324000
1201;1;0.021000;14.318000
1201;2;0.020000;14.425000
1201;3;0.021000;0.010000
1201;4;0.021000;14.435000
1201;5;0.020000;14.479000
1201;6;0.020000;14.441000
1201;7;0.020000;14.449000
1201;8;0.021000;14.442000
1201;9;0.020000;14.461000
1251;0;0.020000;15.797000
1251;1;0.021000;15.734000
1251;2;0.021000;15.615000
1251;3;0.021000;15.670000
1251;4;0.022000;15.675000
1251;5;0.021000;15.686000
1251;6;0.020000;15.706000
1251;7;0.021000;15.703000
1251;8;0.020000;15.671000
1251;9;0.021000;15.672000
1301;0;0.021000;17.026000
1301;1;0.021000;16.977000
1301;2;0.021000;16.983000
1301;3;0.021000;16.980000
1301;4;0.022000;16.929000
1301;5;0.021000;16.920000
1301;6;0.022000;16.903000
1301;7;0.022000;17.011000
1301;8;0.021000;16.987000
1301;9;0.024000;16.991000
1351;0;0.023000;18.331000
1351;1;0.023000;18.395000
1351;2;0.023000;18.270000
1351;3;0.023000;18.260000
1351;4;0.022000;18.230000
1351;5;0.023000;18.334000
1351;6;0.023000;18.241000
1351;7;0.022000;18.173000
1351;8;0.023000;18.270000
1351;9;0.022000;18.231000
1401;0;0.022000;19.679000
1401;1;0.024000;19.637000
1401;2;0.022000;19.634000
1401;3;0.022000;19.675000
1401;4;0.023000;19.649000
1401;5;0.024000;19.629000
1401;6;0.023000;19.951000
1401;7;0.024000;19.648000
1401;8;0.022000;19.652000
1401;9;0.023000;19.646000
1451;0;0.021000;21.137000
1451;1;0.023000;21.098000
1451;2;0.022000;21.040000
1451;3;0.023000;21.075000
1451;4;0.022000;21.105000
1451;5;0.024000;21.077000
1451;6;0.022000;21.077000
1451;7;0.023000;21.073000
1451;8;0.022000;21.073000
1451;9;0.022000;21.089000
1501;0;0.022000;22.577000
1501;1;0.023000;22.616000
1501;2;0.024000;22.913000
1501;3;0.023000;22.883000
1501;4;0.023000;22.769000
1501;5;0.022000;22.839000
1501;6;0.024000;0.015000
1501;7;0.023000;22.728000
1501;8;0.024000;22.781000
1501;9;0.024000;22.614000
1551;0;0.024000;24.225000
1551;1;0.024000;24.151000
1551;2;0.024000;24.153000
1551;3;0.024000;24.167000
1551;4;0.025000;24.192000
1551;5;0.024000;24.160000
1551;6;0.024000;24.156000
1551;7;0.023000;24.163000
1551;8;0.024000;24.157000
1551;9;0.024000;24.240000
1601;0;0.028000;25.877000
1601;1;0.024000;25.902000
1601;2;0.024000;25.700000
1601;3;0.025000;25.927000
1601;4;0.024000;25.731000
1601;5;0.026000;25.721000
1601;6;0.025000;25.791000
1601;7;0.026000;25.844000
1601;8;0.023000;25.754000
1601;9;0.024000;25.784000
1651;0;0.030000;27.672000
1651;1;0.025000;27.412000
1651;2;0.027000;27.410000
1651;3;0.026000;27.460000
1651;4;0.026000;27.370000
1651;5;0.027000;27.348000
1651;6;0.027000;27.346000
1651;7;0.026000;27.392000
1651;8;0.027000;27.429000
1651;9;0.026000;27.633000
1701;0;0.026000;29.017000
1701;1;0.026000;29.055000
1701;2;0.026000;29.161000
1701;3;0.026000;29.223000
1701;4;0.026000;29.090000
1701;5;0.025000;29.119000
1701;6;0.027000;29.086000
1701;7;0.027000;29.009000
1701;8;0.026000;29.020000
1701;9;0.026000;29.008000
1751;0;0.025000;30.856000
1751;1;0.026000;30.864000
1751;2;0.027000;30.824000
1751;3;0.026000;30.829000
1751;4;0.026000;30.862000
1751;5;0.026000;30.829000
1751;6;0.026000;30.843000
1751;7;0.026000;30.836000
1751;8;0.026000;30.682000
1751;9;0.028000;31.025000
1801;0;0.026000;32.605000
1801;1;0.028000;32.577000
1801;2;0.027000;32.640000
1801;3;0.026000;32.596000
1801;4;0.027000;32.617000
1801;5;0.027000;32.489000
1801;6;0.027000;32.705000
1801;7;0.026000;32.654000
1801;8;0.027000;32.643000
1801;9;0.027000;32.617000
1851;0;0.028000;34.420000
1851;1;0.028000;34.348000
1851;2;0.026000;34.508000
1851;3;0.029000;34.381000
1851;4;0.028000;34.308000
1851;5;0.027000;34.390000
1851;6;0.027000;34.503000
1851;7;0.028000;34.454000
1851;8;0.027000;34.352000
1851;9;0.027000;34.439000
1901;0;0.027000;36.431000
1901;1;0.027000;36.432000
1901;2;0.027000;36.419000
1901;3;0.029000;36.345000
1901;4;0.028000;36.215000
1901;5;0.027000;36.575000
1901;6;0.028000;36.440000
1901;7;0.028000;36.263000
1901;8;0.028000;36.434000
1901;9;0.028000;36.406000
1951;0;0.028000;38.310000
1951;1;0.029000;38.342000
1951;2;0.030000;38.187000
1951;3;0.029000;38.206000
1951;4;0.028000;38.377000
1951;5;0.029000;38.408000
1951;6;0.029000;38.395000
1951;7;0.029000;38.396000
1951;8;0.030000;38.304000
1951;9;0.029000;38.319000
2001;0;0.029000;40.281000
2001;1;0.028000;40.432000
