Size;Measure;Time_1st_level;Time_2nd_level
4651;8;0.055000;217.533000
4651;9;0.055000;217.716000
4701;0;0.056000;222.472000
4701;1;0.056000;223.059000
4701;2;0.056000;223.001000
4701;3;0.057000;222.980000
4701;4;0.057000;223.146000
4701;5;0.062000;223.418000
4701;6;0.056000;223.894000
4701;7;0.057000;223.556000
4701;8;0.056000;222.859000
4701;9;0.056000;222.816000
4751;0;0.056000;227.216000
4751;1;0.056000;226.929000
4751;2;0.057000;226.960000
4751;3;0.057000;227.084000
4751;4;0.056000;226.898000
4751;5;0.056000;226.980000
4751;6;0.055000;227.065000
4751;7;0.056000;227.165000
4751;8;0.057000;227.049000
4751;9;0.056000;227.190000
4801;0;0.058000;231.939000
4801;1;0.057000;231.923000
4801;2;0.058000;231.851000
4801;3;0.057000;231.918000
4801;4;0.057000;231.862000
4801;5;0.073000;231.885000
4801;6;0.057000;231.996000
4801;7;0.057000;231.936000
4801;8;0.057000;231.606000
4801;9;0.058000;232.018000
4851;0;0.057000;236.803000
4851;1;0.057000;236.663000
4851;2;0.058000;236.667000
4851;3;0.058000;236.897000
4851;4;0.057000;236.780000
4851;5;0.057000;236.702000
4851;6;0.059000;236.794000
4851;7;0.058000;236.830000
4851;8;0.059000;236.582000
4851;9;0.057000;236.751000
4901;0;0.058000;241.656000
4901;1;0.058000;241.587000
4901;2;0.058000;241.590000
4901;3;0.058000;241.409000
4901;4;0.057000;241.695000
4901;5;0.058000;241.896000
4901;6;0.058000;241.462000
4901;7;0.058000;241.413000
4901;8;0.059000;241.460000
4901;9;0.057000;241.518000
4951;0;0.059000;246.618000
4951;1;0.060000;246.659000
4951;2;0.060000;246.364000
4951;3;0.060000;246.552000
4951;4;0.059000;246.486000
4951;5;0.059000;246.396000
4951;6;0.059000;246.557000
4951;7;0.074000;247.271000
4951;8;0.059000;246.465000
4951;9;0.059000;246.551000
